"","gene_short_name","num_cells_expressed","use_for_ordering"
"VDAC3","VDAC3",232,TRUE
"CEBPD","CEBPD",341,TRUE
"UBE2V2","UBE2V2",288,TRUE
"AC044893.1","AC044893.1",215,TRUE
"ST18","ST18",510,TRUE
"RPS20","RPS20",387,TRUE
"PLAG1","PLAG1",420,TRUE
"FAM110B","FAM110B",277,TRUE
"SDCBP","SDCBP",351,TRUE
"ARMC1","ARMC1",214,TRUE
"VCPIP1","VCPIP1",210,TRUE
"SNHG6","SNHG6",219,TRUE
"CPA6","CPA6",172,TRUE
"RPL7","RPL7",293,TRUE
"LY96","LY96",235,TRUE
"STMN2","STMN2",368,TRUE
"RMDN1","RMDN1",309,TRUE
"LRRC69","LRRC69",244,TRUE
"RBM12B","RBM12B",233,TRUE
"UQCRB","UQCRB",285,TRUE
"RPL30","RPL30",211,TRUE
"NIPAL2","NIPAL2",234,TRUE
"COX6C","COX6C",271,TRUE
"AZIN1","AZIN1",285,TRUE
"ATP6V1C1","ATP6V1C1",417,TRUE
"DPYS","DPYS",213,TRUE
"LRP12","LRP12",230,TRUE
"TAF2","TAF2",357,TRUE
"FAM91A1","FAM91A1",261,TRUE
"CCDC26","CCDC26",405,TRUE
"AC131568.1","AC131568.1",210,TRUE
"EEF1D","EEF1D",356,TRUE
"PLEC","PLEC",302,TRUE
"GRINA","GRINA",206,TRUE
"CYHR1","CYHR1",252,TRUE
"KIFC2","KIFC2",273,TRUE
"RPL8","RPL8",327,TRUE
"WASHC1","WASHC1",414,TRUE
"CBWD1","CBWD1",273,TRUE
"AK3","AK3",237,TRUE
"SNAPC3","SNAPC3",260,TRUE
"RPS6","RPS6",399,TRUE
"DDX58","DDX58",214,TRUE
"DNAJA1","DNAJA1",265,TRUE
"SMU1","SMU1",245,TRUE
"CLTA","CLTA",389,TRUE
"EBLN3P","EBLN3P",246,TRUE
"TRMT10B","TRMT10B",237,TRUE
"LINC01410","LINC01410",232,TRUE
"MAMDC2","MAMDC2",240,TRUE
"C9orf85","C9orf85",335,TRUE
"RORB","RORB",242,TRUE
"NMRK1","NMRK1",213,TRUE
"GKAP1","GKAP1",256,TRUE
"SPTLC1","SPTLC1",339,TRUE
"CENPP","CENPP",415,TRUE
"SUSD3","SUSD3",294,TRUE
